                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.4069,                 0.7021,                  1.071,                0.83416,                0.57263,                0.64957,                0.35261,                 1.3546,                0.60993,                 1.0973,               0.006634,               0.006634,               0.006634
                    104,                 1.3901,                0.69149,                 1.0724,                  0.833,                0.57308,                0.64958,                 0.3525,                 1.3544,                0.60968,                 1.0972,               0.006601,               0.006601,               0.006601
                    105,                 1.3996,                0.69963,                 1.0722,                0.83347,                0.57298,                0.64962,                0.35262,                 1.3542,                0.60949,                 1.0968,               0.006568,               0.006568,               0.006568
                    106,                 1.3864,                0.69072,                 1.0678,                0.83333,                0.57276,                0.64969,                0.35273,                 1.3542,                0.60934,                 1.0966,               0.006535,               0.006535,               0.006535
                    107,                  1.401,                0.69821,                 1.0726,                0.83358,                0.57313,                0.64998,                0.35294,                  1.354,                0.60926,                 1.0963,               0.006502,               0.006502,               0.006502
                    108,                 1.3935,                0.69564,                 1.0695,                0.83382,                0.57321,                0.65003,                0.35289,                  1.354,                0.60915,                 1.0962,               0.006469,               0.006469,               0.006469
                    109,                  1.399,                0.69997,                 1.0694,                0.83398,                0.57338,                0.65018,                0.35306,                 1.3538,                0.60899,                  1.096,               0.006436,               0.006436,               0.006436
                    110,                 1.3895,                0.69137,                 1.0715,                0.83459,                0.57291,                0.65009,                0.35319,                 1.3539,                0.60865,                 1.0958,               0.006403,               0.006403,               0.006403
                    111,                 1.3975,                0.69395,                 1.0665,                0.83453,                0.57291,                0.65016,                0.35323,                 1.3537,                0.60844,                 1.0956,                0.00637,                0.00637,                0.00637
                    112,                 1.3918,                0.69189,                 1.0711,                0.83513,                0.57288,                0.65012,                0.35329,                 1.3535,                0.60832,                 1.0954,               0.006337,               0.006337,               0.006337
                    113,                 1.3892,                0.69226,                 1.0669,                0.83555,                0.57285,                0.65052,                 0.3534,                 1.3532,                 0.6081,                 1.0952,               0.006304,               0.006304,               0.006304
                    114,                 1.3947,                0.69074,                 1.0641,                0.83523,                0.57311,                0.65066,                0.35356,                 1.3531,                0.60794,                 1.0949,               0.006271,               0.006271,               0.006271
                    115,                 1.3847,                0.68608,                 1.0669,                0.83659,                 0.5724,                0.65065,                0.35374,                  1.353,                0.60782,                 1.0948,               0.006238,               0.006238,               0.006238
                    116,                 1.3875,                0.68814,                 1.0683,                0.83584,                0.57316,                0.65086,                0.35386,                 1.3528,                0.60767,                 1.0946,               0.006205,               0.006205,               0.006205
                    117,                 1.3913,                0.68981,                 1.0685,                0.83617,                0.57313,                0.65105,                0.35404,                 1.3526,                0.60746,                 1.0945,               0.006172,               0.006172,               0.006172
                    118,                 1.3825,                0.68355,                 1.0673,                0.83646,                0.57293,                0.65101,                0.35399,                 1.3523,                0.60729,                 1.0943,               0.006139,               0.006139,               0.006139
                    119,                 1.3795,                0.68435,                 1.0691,                0.83721,                0.57268,                0.65119,                0.35418,                  1.352,                0.60694,                 1.0941,               0.006106,               0.006106,               0.006106
                    120,                 1.3859,                0.68466,                 1.0656,                0.83645,                0.57316,                0.65131,                0.35436,                 1.3519,                0.60694,                  1.094,               0.006073,               0.006073,               0.006073
                    121,                 1.3811,                 0.6845,                 1.0678,                0.83733,                0.57333,                0.65145,                0.35456,                 1.3517,                0.60668,                 1.0937,                0.00604,                0.00604,                0.00604
                    122,                 1.3881,                 0.6872,                 1.0676,                 0.8376,                0.57338,                0.65148,                0.35469,                 1.3515,                0.60644,                 1.0935,               0.006007,               0.006007,               0.006007
                    123,                 1.3862,                0.68487,                 1.0662,                 0.8384,                0.57354,                0.65156,                0.35478,                  1.351,                0.60633,                 1.0932,               0.005974,               0.005974,               0.005974
                    124,                 1.3788,                0.68276,                 1.0652,                0.83846,                0.57352,                0.65164,                0.35478,                 1.3507,                0.60629,                  1.093,               0.005941,               0.005941,               0.005941
                    125,                 1.3822,                0.68294,                 1.0618,                0.83841,                0.57376,                0.65192,                0.35489,                 1.3506,                0.60587,                 1.0928,               0.005908,               0.005908,               0.005908
                    126,                 1.3757,                0.67961,                 1.0633,                0.83831,                0.57404,                0.65215,                0.35499,                 1.3505,                0.60575,                 1.0927,               0.005875,               0.005875,               0.005875
                    127,                   1.38,                0.68349,                 1.0644,                0.83806,                0.57389,                0.65206,                0.35517,                 1.3501,                0.60535,                 1.0925,               0.005842,               0.005842,               0.005842
                    128,                 1.3766,                0.68224,                 1.0666,                0.83765,                0.57396,                0.65212,                0.35521,                 1.3499,                0.60527,                 1.0923,               0.005809,               0.005809,               0.005809
                    129,                 1.3807,                0.68095,                 1.0629,                0.83804,                0.57383,                0.65241,                 0.3553,                 1.3498,                0.60496,                 1.0922,               0.005776,               0.005776,               0.005776
                    130,                 1.3757,                0.67701,                 1.0662,                0.83848,                0.57373,                0.65257,                0.35537,                 1.3498,                0.60468,                 1.0921,               0.005743,               0.005743,               0.005743
                    131,                 1.3747,                0.67858,                 1.0655,                0.83884,                0.57408,                0.65296,                0.35545,                 1.3497,                0.60424,                 1.0919,                0.00571,                0.00571,                0.00571
                    132,                 1.3784,                0.68039,                 1.0625,                 0.8387,                0.57411,                0.65275,                0.35539,                 1.3496,                0.60421,                 1.0919,               0.005677,               0.005677,               0.005677
                    133,                  1.384,                0.68323,                 1.0636,                0.83929,                0.57431,                0.65303,                0.35549,                 1.3496,                0.60402,                 1.0918,               0.005644,               0.005644,               0.005644
                    134,                 1.3738,                0.67879,                 1.0606,                0.83951,                0.57443,                0.65332,                0.35563,                 1.3493,                0.60369,                 1.0917,               0.005611,               0.005611,               0.005611
                    135,                 1.3715,                0.67818,                  1.068,                0.83946,                0.57461,                0.65366,                0.35589,                 1.3492,                0.60365,                 1.0916,               0.005578,               0.005578,               0.005578
                    136,                 1.3778,                0.67694,                 1.0616,                 0.8399,                0.57467,                0.65382,                0.35607,                 1.3491,                0.60329,                 1.0914,               0.005545,               0.005545,               0.005545
                    137,                 1.3793,                0.67707,                 1.0596,                 0.8405,                0.57472,                0.65412,                0.35621,                 1.3491,                0.60305,                 1.0913,               0.005512,               0.005512,               0.005512
                    138,                 1.3749,                0.67762,                 1.0646,                0.83928,                0.57507,                0.65411,                0.35625,                  1.349,                0.60289,                 1.0912,               0.005479,               0.005479,               0.005479
                    139,                 1.3741,                0.67586,                 1.0605,                0.83943,                0.57512,                0.65441,                 0.3565,                 1.3489,                0.60275,                 1.0911,               0.005446,               0.005446,               0.005446
                    140,                 1.3745,                0.67655,                 1.0565,                0.84013,                0.57499,                0.65474,                0.35663,                 1.3488,                0.60255,                  1.091,               0.005413,               0.005413,               0.005413
                    141,                 1.3777,                0.68213,                 1.0583,                0.84056,                0.57469,                0.65452,                0.35663,                 1.3488,                0.60233,                 1.0908,                0.00538,                0.00538,                0.00538
                    142,                 1.3631,                0.67153,                  1.059,                0.84081,                0.57484,                  0.655,                 0.3568,                 1.3487,                0.60225,                 1.0907,               0.005347,               0.005347,               0.005347
                    143,                  1.374,                 0.6768,                 1.0555,                 0.8406,                0.57486,                0.65512,                0.35693,                 1.3487,                0.60204,                 1.0906,               0.005314,               0.005314,               0.005314
                    144,                 1.3675,                0.67168,                 1.0562,                0.84139,                0.57474,                0.65524,                0.35714,                 1.3486,                0.60182,                 1.0905,               0.005281,               0.005281,               0.005281
                    145,                 1.3676,                 0.6723,                 1.0552,                0.84052,                0.57553,                0.65554,                0.35726,                 1.3486,                0.60151,                 1.0903,               0.005248,               0.005248,               0.005248
                    146,                  1.359,                0.66876,                 1.0537,                0.84151,                0.57563,                0.65574,                0.35722,                 1.3485,                0.60123,                 1.0901,               0.005215,               0.005215,               0.005215
                    147,                 1.3763,                0.67471,                 1.0574,                0.84183,                0.57524,                0.65592,                0.35748,                 1.3481,                0.60119,                 1.0899,               0.005182,               0.005182,               0.005182
                    148,                 1.3661,                 0.6706,                 1.0573,                0.84101,                0.57568,                0.65585,                0.35758,                  1.348,                0.60084,                 1.0897,               0.005149,               0.005149,               0.005149
                    149,                 1.3767,                0.67543,                 1.0536,                0.84179,                0.57574,                0.65609,                0.35759,                 1.3482,                0.60055,                 1.0896,               0.005116,               0.005116,               0.005116
                    150,                 1.3608,                0.66734,                 1.0554,                0.84099,                0.57638,                 0.6563,                0.35749,                 1.3481,                0.60027,                 1.0894,               0.005083,               0.005083,               0.005083
                    151,                 1.3697,                0.67074,                  1.055,                0.84087,                0.57621,                0.65619,                0.35766,                  1.348,                0.60017,                 1.0893,                0.00505,                0.00505,                0.00505
                    152,                 1.3726,                0.67342,                 1.0559,                0.84167,                0.57667,                0.65664,                0.35778,                 1.3481,                0.60019,                 1.0892,               0.005017,               0.005017,               0.005017
                    153,                 1.3595,                0.66788,                 1.0547,                0.84159,                0.57671,                0.65664,                0.35788,                 1.3481,                0.59992,                 1.0891,               0.004984,               0.004984,               0.004984
                    154,                 1.3694,                0.67259,                 1.0567,                0.84246,                0.57661,                0.65691,                0.35808,                 1.3478,                0.59969,                  1.089,               0.004951,               0.004951,               0.004951
                    155,                  1.359,                0.66663,                 1.0536,                0.84209,                0.57661,                0.65673,                0.35812,                 1.3479,                0.59948,                 1.0889,               0.004918,               0.004918,               0.004918
                    156,                 1.3626,                0.67007,                  1.055,                0.84261,                0.57616,                0.65682,                0.35811,                 1.3479,                0.59925,                 1.0888,               0.004885,               0.004885,               0.004885
